,video_id,video_title,published_date,channel_title,channel_id,view_count,like_count,comment_count
82,M4shTrIgXs0,3 Simple Steps to Solve Noom SQL Interview Questions,2022-09-21,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,519,15,1
83,5Lpbw71xR3o,Framework to Solve Noom Advanced SQL Interview Question,2022-09-15,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,2839,85,3
84,gtHI672Tlbw,DoorDash Medium Level SQL Interview Question,2022-09-08,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,919,29,2
85,DmUR2QSNUq8,DoorDash Data Science SQL Interview Question Walkthrough,2022-09-07,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,3323,80,8
86,OLG6_EHMhFk,The One Thing That Keeps Data Scientists Up-to-date,2022-08-31,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,714,54,4
87,0EoaJE3ePcE,Use STRING_AGG Function to Solve SQL Questions,2022-08-25,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,3612,145,6
88,JDOAcKTy9Mk,Top 5 Data Science Project Ideas in 2022 to Stay Up To Date as a Data Scientist,2022-08-18,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,3909,183,11
89,o8cFJmI50Dw,STRING_AGG Function to Solve Data Science Interview Questions,2022-08-11,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,2089,66,9
90,ggZzHnzYH1s,How To Use Python Window Functions | Solving Amazon Data Science Interview Question,2022-08-03,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,3771,139,9
91,8zeLdtkY2CQ,Data Science Mock Interview | Salesforce SQL Coding Interview Question,2022-06-17,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,7830,204,23
92,tnoOz6MzTPg,Python cumsum() | Solving Python Optimization Questions On a Data Science Interview,2022-05-11,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,2925,89,13
93,OzyHfddLj9g,How to Solve a SQL Interview Question Using WHERE &amp; HAVING | PayPal Data Science Interview,2022-04-13,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,8347,165,13
94,jN5hpgBrz8k,Dealing With Python Date Manipulations In a Meta/Facebook Data Science Interview Question,2022-03-22,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,6000,175,20
95,yFyyP_Uvxj0,How To Solve Data Science Probability Interview Questions | Meta/Facebook Example,2022-03-10,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,5190,147,6
96,Av92CaPTRr8,How to use SQL window functions: RANK vs DENSE_RANK in Data Science Interviews,2022-03-02,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,5793,137,10
97,VEjxlKBkZGM,Amazon Data Science Interview Question Walkthrough | How to Deal with Streaks in SQL,2022-02-08,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,10760,283,31
98,hMUf7DqG1nQ,SQL Basics: How to Join Multiple Tables in SQL and the Importance of LEFT JOIN vs INNER JOIN,2022-01-27,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,7293,134,8
99,ToEl_tpyoM4,Uber Data Science Python Interview Question Walkthrough,2022-01-10,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,22285,527,30
100,30hS-MjpU6E,SQL Syntax Best Practices: How to Structure Your SQL Code,2021-12-22,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,20331,780,54
101,Bgpp99iz0I0,Most Common Coding Mistakes on Data Science Interviews,2021-11-04,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,5423,228,31
102,GeJUvdkJKEc,Multiple Solutions to Data Scientist Interview Question From Amazon [Rolling Average],2021-10-11,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,11568,290,50
103,GGURenNfXI0,Multiple Approaches for Solving a Twitter Data Scientist Interview Question,2021-09-13,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,6014,211,36
104,PlpUo6bHsBQ,Advanced Facebook Data Science SQL interview question [RANK()],2021-08-09,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,28934,896,79
105,uY2wfR8Dkqo,5 Tips for a Successful Data Science Interview,2021-07-26,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,13289,312,40
106,yY7yau9j3xk,Data Science SQL Scenario Based Interview Question [Facebook] - Date Manipulation,2021-07-20,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,8631,209,32
107,i-E4pdU2qXM,Data Science SQL Interview Question Walkthrough [Microsoft] - Window Function: Ranking,2021-07-13,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,9709,357,24
108,T1UhSuKqy3A,Most Common Data Science SQL Interview Question from DoorDash [window functions &amp; partitions],2021-06-15,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,16694,553,43
109,2iE3JgNTwVU,A Walkthrough of Data Science SQL Interview Question from Noom (Date Manipulations),2021-06-04,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,6342,191,30
110,RgKMbpEylWA,Comparing FAANG vs Non-FAANG Data Science Interview Questions,2021-05-24,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,3505,113,16
111,giGIPINLqJs,An Analysis of 900 Data Science Interview Questions | Data Science Interview Guide,2021-05-13,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,5359,229,13
112,77IVf0zgmwI,Importing a Pandas Dataframe to a Database in Python [For Your Data Science Project],2021-05-05,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,34460,1042,104
113,xtbMCAVXDmU,Facebook and Microsoft Data Science SQL interview question walkthrough (advanced),2021-04-15,StrataScratch,UCW8Ews7tdKKkBT6GdtQaXvQ,11164,330,61
